"Groups","ADGRE5","MYLK","CDKN2A","CDK1","MCM4","HMGB2","MCM6","RNPS1","GBP1","MYL9","LCP1","CBR3","MCM3","AIF1","B2M","IL4I1","MCM2","KPNA2","FEN1","CD163","MCM7","SLMAP","ITGA5","SMTN","FABP3","NASP","PSMB9","MYL6","RBPMS","NIBAN1","MYH11","WARS1","MZB1","FOLR2","CTSC","ACADVL","NDUFA9","SUCLA2","THBS4","IGF2BP2","CLEC11A","PRPH","MYH7","ASPN","FMOD","COL12A1","OLFML3","TUBB2B","FBLN5","MB","CPXM1","KRT18","CKM","KRT19","KRT8","MYLPF","COMP","CALB2","MYL1","MYL2","EEF1A2","MYL3","THBS3","FDXR","MDK","MACROH2A2","CRABP1"
"AYA","-2.11491550","-0.65718723","-0.42242409","-1.03015693","-1.20522620","-2.29725723","-1.08203146","-1.29528738","-0.22804016","-0.09782586","-2.10457582","-1.70082569","-1.91347174","-1.41539544","-1.72716442","-2.48967760","-1.48264029","-1.49607018","-1.79346122","-1.42215852","-1.20119576"," 0.81249026"," 0.08026174"," 0.24389461"," 0.65658102","-1.74386913","-2.49128777","-0.63602060"," 0.16834072","-0.97292789","-0.24980472","-1.52172746","-2.02704617","-1.28164249","-1.85453407"," 1.27243363"," 1.57953338"," 0.36696020","-0.62020985"," 1.79015824"," 4.29837494"," 2.15825484"," 5.79389197"," 3.39083570"," 1.90858614"," 4.22302809"," 3.94972681"," 2.03425889"," 1.44123482"," 7.44634965"," 2.49011418"," 0.35489794"," 7.46390264","-0.12349404","-2.05854689"," 7.48000591"," 4.22980446"," 1.96216339"," 7.45749618"," 6.71115061"," 2.80813851"," 7.11337613"," 3.87343505"," 0.19025931"," 3.35669744"," 0.82047791"," 1.72787091"
"AYA","-1.660424664","-1.432532389","-0.413535068","-1.924924234","-1.515525437","-1.255960670","-1.128755639","-2.305146555","-0.303923840","-1.278463029","-0.255985618"," 0.155316278","-1.389625044"," 0.105053124"," 0.777287784"," 0.333926567","-1.470566534","-1.127081868","-1.054428976","-0.126671305","-1.140654926","-0.667244141","-1.686346492","-0.860024943"," 0.332105902","-1.834036688"," 0.555103340","-0.776411601"," 0.022102181"," 0.259007566","-0.363062146"," 1.135772721","-1.468240180"," 1.269092279"," 1.021263054"," 1.957553665"," 1.813623454"," 1.745152849"," 0.867125960","-0.270265634","-0.979773045","-0.995415976"," 2.626243741"," 1.211906459","-0.165285431","-0.019951652","-1.163457563"," 1.492411474"," 0.007107907"," 4.426265170","-1.257301442","-1.893096499"," 4.699566902","-3.050041475","-2.111527605"," 5.568173139"," 1.862928677","-1.358559688"," 6.039591902"," 4.147563285"," 4.371502952"," 4.043517688"," 0.485920959"," 0.633756407"," 2.604575807"," 0.006578279","-3.074279669"
"AYA","-2.39750230","-0.90006533","-0.15166507","-1.84338628","-1.53014129","-2.67589374","-0.94230872","-1.36763983","-1.49479724","-0.32369178","-2.19374779","-1.66842402","-1.84919141","-1.87392689","-2.37711641","-3.54403137","-1.45810684","-1.83371931","-2.19752094","-2.00727102","-1.24096719"," 0.17985591","-0.76566590","-0.02908669","-1.44649107","-1.94851796","-2.21047296","-0.67527757","-0.67745560","-1.43389367","-0.45246340","-1.87990057","-1.03458009","-1.14074608","-2.09870588"," 0.51126663"," 1.09314693","-0.10854936","-0.67347497"," 2.21030434"," 4.22970811"," 3.08249380"," 3.89020545"," 2.58557976"," 2.02829446"," 3.47365549"," 3.84594842"," 2.05870916"," 3.17557376"," 4.59725266"," 4.20491719"," 0.55923614"," 4.33506486","-0.17267776","-1.97327680"," 4.59343971"," 2.54309861"," 2.70392300"," 5.70766682"," 5.80970091"," 0.42101080"," 4.39883154"," 2.92096301"," 1.41574537"," 2.54272223"," 1.09165006"," 2.26744659"
"AYA","-0.95077920","-0.60899182","-2.94435153","-1.61887930","-3.20415423","-1.65279690","-2.22061210","-2.28224107"," 0.39769819","-0.45199141"," 0.22758170","-0.18423263","-2.46034477"," 0.61062858"," 0.36121160","-1.61027529","-2.99428764","-1.55428006","-2.09177269","-0.59837838","-2.25847461","-1.46377144","-0.68626433","-0.63476475","-1.87279611","-1.56456664"," 0.47648354"," 0.01866185","-0.85553625","-1.14467345","-0.44600009","-0.37080738"," 0.08307457","-0.48329115","-0.87848950"," 0.58597765"," 0.28014700","-0.08738522"," 0.78026177"," 1.45398777"," 2.53462269","-0.01505881"," 1.54771283"," 3.06672057"," 1.91015271"," 1.71866774"," 3.80211926"," 0.45651784"," 2.85092174"," 2.43002612"," 3.17579426"," 0.16005236"," 1.98967846"," 1.09515951","-0.34126364"," 1.91092578"," 3.14749872"," 4.99117419"," 2.20478872"," 1.55090406","-2.30171273"," 2.82607317"," 2.86296732","-0.21869913"," 3.01516535"," 1.59001018"," 1.44386465"
"AYA","-1.13823281","-0.14168319","-0.94004383"," 0.32985716"," 0.15005832","-0.06072757"," 0.18674429"," 0.37076515","-2.32075126","-1.10356790","-2.28706094","-0.04853573","-0.03688371","-2.25131408","-2.17577284","-2.40290558"," 0.04471957","-0.68901014","-0.03490550","-1.86344219"," 0.03792770"," 0.32619536","-2.28003761","-0.51423275","-1.21827434"," 0.12103451","-1.89625861","-1.75537487","-2.72158345","-1.72986094","-0.15888956","-1.12216000","-1.16631101","-2.59906837","-1.66758434"," 1.54974273"," 0.82581787"," 0.58066882","-2.40595305"," 2.14731870"," 1.47669254"," 0.75263569","-1.28768196","-1.66601461","-1.18239612","-1.36708540","-0.46739606"," 2.64351862","-1.87361764","-2.70318847"," 0.52271060","-1.10628502","-3.09175523","-1.05819170","-0.22697590","-2.70805705","-1.77845946","-1.07188700","-3.21418165","-2.14128453"," 2.72161116","-2.16922623","-0.05420371"," 1.26730711"," 1.44816487"," 2.91109923"," 4.14192516"
"AYA","-2.15230271","-0.41782330","-2.01283417","-1.85218268","-0.24713897","-1.76903690"," 0.07641686","-1.26477959","-1.36496857","-1.51568247","-1.28044749","-1.38404873"," 0.04762520","-1.11012984","-1.61207445","-0.82354699","-0.52827827","-0.61264858","-1.15712284","-0.43762879"," 0.21702237"," 0.12338908","-1.64572968","-1.19660707","-1.66364366","-0.15308157","-1.97802189","-1.63052578","-1.49024135","-0.81807398"," 0.65364448","-1.52304280","-1.21160404","-0.58073774","-1.22483702"," 2.12469935"," 1.44421543"," 1.72070057"," 0.76966595"," 2.08077640"," 3.39673011"," 3.35607974"," 1.28295731"," 1.29115752"," 1.22999980"," 2.65886071"," 0.15977656"," 1.01097156"," 0.32195046","-0.54427791"," 3.95681362"," 2.29739737"," 0.87507517"," 5.15363344"," 3.97259357"," 0.33103004"," 2.26129682"," 0.45791604"," 1.07961196","-1.46633758"," 3.58232318"," 0.90804662"," 3.25391979"," 2.12508781"," 2.09484707"," 1.80627197"," 2.96603327"
"AYA","-0.82021640"," 0.19062091"," 0.48308500","-2.11534042","-1.00418001","-0.60638094","-0.88746261","-1.17008864","-2.40020176","-0.62465385","-2.21241110","-0.11003563","-1.13439709","-1.73406503","-2.71666969","-2.45143464","-1.45228915","-0.26739989"," 0.47489083","-1.26805613","-1.32371294","-0.01392502","-2.08854406","-0.83738633","-0.14165382","-1.37702628","-1.59606939","-1.25515343"," 0.38911541","-1.23508685","-0.13280215"," 2.79017558","-0.92261922","-1.80343366","-1.21700624"," 1.60569407"," 2.98391400"," 2.03157520"," 2.27351451"," 2.50255984","-0.41021659","-0.92554653","-2.03262001"," 1.92875541"," 1.41585728"," 0.19853189","-1.17343009"," 1.33603947","-0.72570509","-0.79055188","-0.12321482","-1.23115428","-0.17528483","-2.01297038"," 7.91201350","-0.05367697"," 2.10452923"," 0.42343435","-0.79662358"," 0.03088940","-0.25027152","-0.33880721"," 0.26443620"," 2.30466582"," 1.86009071"," 0.33516242","-2.66391842"
"AYA","-2.161600355","-1.633140420","-0.125902240"," 0.323880431","-1.517243058","-2.703610855","-4.262383793","-2.396034041","-0.511275545","-1.388658432","-2.041370406","-1.291297575","-2.236002011","-1.783464487"," 0.268238453","-1.531517929","-1.837810664","-1.200142128","-2.372659344","-1.447071117","-3.832599383","-1.778026054","-0.468384309","-1.228929419","-2.139756308","-4.081311501","-1.475951844","-0.515057951"," 0.296031202","-0.963411050","-0.843334938","-1.341956635"," 0.241363488","-1.271961082","-0.117967220"," 0.058122754"," 1.183248806","-1.845290939"," 3.862193482"," 1.688783967"," 2.481643926"," 4.334736769","-0.449469859"," 2.806600160"," 3.409593520"," 2.909828103"," 4.183439858"," 2.411156278"," 1.705765476","-0.058724740"," 1.689440706"," 1.580403644","-0.814828141"," 1.400966886"," 0.772421228"," 0.263212718"," 6.032989731"," 3.721969493","-1.173517097","-1.392810153"," 1.207656076"," 0.000441485"," 2.986379169"," 0.123192202"," 1.684683714","-0.381152136","-0.792456778"
"AYA","-2.46423167","-0.60537182","-0.40740373"," 0.54040310","-1.79358806","-1.85837407","-2.13303150","-1.12057754","-1.22314900","-1.54179966","-2.47618995","-1.75195303","-2.07250060","-1.94108720","-0.01724045"," 1.09585369","-1.92144227","-1.40744825","-1.38607017","-1.30038977","-3.43679153","-1.53456188","-0.70038569","-1.06934932","-2.65843092","-1.05725060","-2.05098777","-0.81340620","-0.78912631","-1.29303581"," 0.10372817","-1.93863098","-2.58251615","-1.44970950","-1.17091493","-0.16850980"," 0.66341941","-0.28482839"," 1.02897888"," 1.65646580"," 3.37554954"," 4.39082535"," 1.50043998"," 4.11130559"," 3.42822238"," 4.21982788"," 4.67778384"," 1.63505208"," 2.59802279"," 2.51922906"," 1.29098293"," 0.08500536"," 2.27350653"," 0.61161442","-0.46107468"," 2.14152047"," 4.53662244"," 1.91345567"," 2.71126458"," 2.03439822","-3.85100474"," 2.43418421"," 3.07745345"," 0.98574155"," 4.04303577"," 1.51768549"," 1.54863137"
"AYA","-0.396527414","-2.882683677","-5.606581236"," 0.770122824"," 1.166084837","-1.206057608"," 1.144777733","-1.328774663","-1.937220562","-3.111546728","-0.085656059","-0.874256159"," 1.150733249","-1.999903680","-1.049044399","-1.233976221"," 1.028105146"," 1.995935911"," 0.793528417","-0.197502528"," 1.316453757","-1.499415573","-0.618598492","-1.433131016","-3.287060437","-0.154546182","-1.462229272","-1.978320686","-1.816932507","-1.399367669","-1.772306505","-0.678358390","-0.697396869","-1.040258646","-0.079491713"," 1.765798410"," 0.787841812"," 1.836268342","-0.007619333"," 1.257179998"," 1.456749010"," 0.534242026"," 1.355171144"," 0.053706865","-0.730947563"," 0.204710776","-1.373930383","-4.338143172"," 0.528779143"," 0.810845580","-0.241595529","11.580264020"," 0.835528785"," 4.217459941","12.160253960"," 0.571264474"," 0.158190590"," 0.864356424"," 1.210715764"," 0.555999066","-0.945162323"," 0.829371774"," 0.370384542"," 3.454136245"," 1.624139521","-0.232187923"," 0.280253906"
